Serial OPM emnulator - serialopm version 0.3.0 (2023/05/10) tantan
--
ymfm Copyright (c) 2021, Aaron Giles
All rights reserved.
--
Completed YM2151 engine initialization.
Completed serial port initialization.
reg=7E, data=60
reg=60, data=C0
reg=3F, data=C0
reg=7E, data=60
reg=78, data=FE
reg=E6, data=06
reg=FE, data=9E
reg=FE, data=E6
reg=06, data=7E
reg=E6, data=E6
reg=06, data=FE
reg=E6, data=E6
reg=06, data=80
reg=80, data=78
reg=80, data=7E
reg=60, data=1E
reg=CF, data=FF
reg=E6, data=06
reg=F8, data=9E
reg=FE, data=E6
reg=06, data=78
reg=E6, data=E6
reg=06, data=F8
reg=E6, data=E6
reg=06, data=80
reg=80, data=66
reg=80, data=7E
reg=60, data=86
reg=E6, data=E6
reg=06, data=E6
reg=9E, data=FE
reg=E6, data=06
reg=66, data=E6
reg=E6, data=06
reg=E6, data=E6
reg=E6, data=06
reg=80, data=80
reg=60, data=80
reg=7E, data=60
reg=18, data=CF
reg=FF, data=E6
reg=06, data=E0
reg=9E, data=FE
reg=E6, data=06
reg=60, data=E6
reg=E6, data=06
reg=E0, data=E6
reg=E6, data=06
reg=80, data=80
reg=1E, data=80
reg=7E, data=60
reg=E0, data=E6
reg=E6, data=06
reg=9E, data=9E
reg=FE, data=E6
reg=06, data=1E
reg=E6, data=E6
reg=06, data=9E
reg=E6, data=E6
reg=06, data=80
reg=80, data=18
reg=80, data=7E
reg=60, data=06
reg=CF, data=FF
reg=E6, data=06
reg=98, data=9E
reg=FE, data=E6
reg=06, data=18
reg=E6, data=E6
reg=06, data=98
reg=E6, data=E6
reg=06, data=80
reg=80, data=06
reg=80, data=7E
reg=60, data=80
reg=E6, data=E6
reg=06, data=86
reg=9E, data=FE
reg=E6, data=06
reg=06, data=E6
reg=E6, data=06
reg=86, data=E6
reg=E6, data=06
reg=80, data=80
.reg=00, data=7E
reg=60, data=00
reg=67, data=E6
reg=06, data=80
reg=9E, data=FE
reg=E6, data=06
reg=00, data=E6
reg=E6, data=06
reg=80, data=E6
reg=E6, data=06
reg=FE, data=80
reg=00, data=7E
....reg=60, data=60
reg=C0, data=3F
reg=C0, data=7E
reg=60, data=78
reg=FE, data=E6
reg=06, data=FE
reg=9E, data=FE
reg=E6, data=06
reg=7E, data=E6
reg=E6, data=06
reg=FE, data=E6
reg=E6, data=06
.reg=80, data=80
reg=78, data=80
reg=7E, data=60
reg=1E, data=CF
reg=FF, data=E6
reg=06, data=F8
reg=9E, data=FE
reg=E6, data=06
reg=78, data=E6
reg=E6, data=06
reg=F8, data=E6
reg=E6, data=06
reg=80, data=80
reg=66, data=80
reg=7E, data=60
reg=86, data=E6
reg=E6, data=06
reg=E6, data=9E
reg=FE, data=E6
reg=06, data=66
reg=E6, data=E6
reg=06, data=E6
reg=E6, data=E6
reg=06, data=80
